Immunization Type,Coverage,Mean,Median,Standard Deviation,Min,Max
hubs,0.25,259.98,259.0,55.29790395501607,140.0,430.0
hubs,0.5,340.17,339.5,59.65406249131045,196.0,502.0
hubs,0.75,368.68,368.0,70.08679755787956,242.0,559.0
hubs,0.9,388.67,381.5,62.05358632470469,269.0,598.0
random,0.25,246.56,242.5,51.86098745880202,147.0,383.0
random,0.5,305.32,306.5,57.079933320553096,186.0,449.0
random,0.75,356.14,350.0,67.38537143051364,229.0,600.0
random,0.9,382.22,382.5,66.63477722145949,225.0,624.0
